"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 24 08:08:45 GMT 2025","Sat May 24 08:08:46 GMT 2025","916","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedTest","listSelectedTest()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrafaleAndLongDistance","testFrafaleAndLongDistance()",""
"broken","Sat May 24 08:08:19 GMT 2025","Sat May 24 08:08:19 GMT 2025","285","","SeleniumTests","","SeleniumTests","checkURL","checkURL()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","2","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadHigh","testWorkLoadHigh()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadIncreased","testWorkLoadIncreased()",""
"broken","Sat May 24 08:08:46 GMT 2025","Sat May 24 08:08:47 GMT 2025","935","","ui.SixHomeWork","","ui.SixHomeWork","fileUploadTest","fileUploadTest()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","45","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testCheapest","testCheapest()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testWorkLoadVeryHigh","testWorkLoadVeryHigh()",""
"passed","Sat May 24 08:08:19 GMT 2025","Sat May 24 08:08:22 GMT 2025","2119","","ui.SevenHomeWork","","ui.SevenHomeWork","shadowDom","shadowDom",""
"passed","Sat May 24 08:08:23 GMT 2025","Sat May 24 08:08:24 GMT 2025","1033","","ui.SevenHomeWork","","ui.SevenHomeWork","alertTest","Alert test",""
"passed","Sat May 24 08:08:31 GMT 2025","Sat May 24 08:08:40 GMT 2025","9014","","ui.SevenHomeWork","","ui.SevenHomeWork","loadingImages","Загрузка картинок",""
"broken","Sat May 24 08:08:22 GMT 2025","Sat May 24 08:08:22 GMT 2025","886","","ui.SevenHomeWork","","ui.SevenHomeWork","testWebStorage","Web storage test",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testMore30km","testMore30km()",""
"broken","Sat May 24 08:08:19 GMT 2025","Sat May 24 08:08:19 GMT 2025","238","","SeleniumTests","","SeleniumTests","checkChapter3Link","checkChapter3Link()",""
"passed","Sat May 24 08:08:24 GMT 2025","Sat May 24 08:08:31 GMT 2025","6376","","ui.SevenHomeWork","","ui.SevenHomeWork","slowCalculator","Тест калькулятора",""
"passed","Sat May 24 08:08:22 GMT 2025","Sat May 24 08:08:23 GMT 2025","979","","ui.SevenHomeWork","","ui.SevenHomeWork","cookieTest","Cookies test",""
"passed","Sat May 24 08:08:43 GMT 2025","Sat May 24 08:08:44 GMT 2025","842","","ui.SixHomeWork","","ui.SixHomeWork","dataPickerTest","dataPickerTest()",""
"passed","Sat May 24 08:08:40 GMT 2025","Sat May 24 08:08:41 GMT 2025","1141","","ui.SevenHomeWork","","ui.SevenHomeWork","iframeTest","Iframe test",""
"passed","Sat May 24 08:08:41 GMT 2025","Sat May 24 08:08:42 GMT 2025","927","","ui.SixHomeWork","","ui.SixHomeWork","checkboxTest","checkboxTest()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm","testFrigileAndDistanceElevenKm()",""
"passed","Sat May 24 08:08:44 GMT 2025","Sat May 24 08:08:45 GMT 2025","921","","ui.SixHomeWork","","ui.SixHomeWork","listSelectedAnotherOptionTest","listSelectedAnotherOptionTest()",""
"passed","Sat May 24 08:08:47 GMT 2025","Sat May 24 08:08:48 GMT 2025","800","","ui.SixHomeWork","","ui.SixHomeWork","inputField","inputField()",""
"broken","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:19 GMT 2025","7353","","SeleniumTests","","SeleniumTests","checkTitle","checkTitle()",""
"passed","Sat May 24 08:08:44 GMT 2025","Sat May 24 08:08:44 GMT 2025","809","","ui.SixHomeWork","","ui.SixHomeWork","disabledField","disabledField()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testSmoke","testSmoke()",""
"passed","Sat May 24 08:08:42 GMT 2025","Sat May 24 08:08:43 GMT 2025","799","","ui.SixHomeWork","","ui.SixHomeWork","readOnlyField","readOnlyField()",""
"passed","Sat May 24 08:08:11 GMT 2025","Sat May 24 08:08:11 GMT 2025","1","","DeliveryCostCalculationTest","","DeliveryCostCalculationTest","testNineKmBig","testNineKmBig()",""
