"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","testCheapest()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testCheapest"
"","4","testFrafaleAndLongDistance()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testFrafaleAndLongDistance"
"","2","testSmoke()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testSmoke"
"","22843","checkTitle()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:41 MSK 2025","","SeleniumTests","SeleniumTests","checkTitle"
"","2","testNineKmBig()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testNineKmBig"
"","1","testWorkLoadVeryHigh()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadVeryHigh"
"","2","testFrigileAndDistanceElevenKm()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm"
"","2","testWorkLoadIncreased()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadIncreased"
"","2","testWorkLoadHigh()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadHigh"
"","22109","checkURL()","","Sat Mar 08 12:59:04 MSK 2025","passed","Sat Mar 08 12:59:26 MSK 2025","","SeleniumTests","SeleniumTests","checkURL"
"","22278","checkChapter3Link()","","Sat Mar 08 12:58:41 MSK 2025","broken","Sat Mar 08 12:59:04 MSK 2025","","SeleniumTests","SeleniumTests","checkChapter3Link"
"","2","testMore30km()","","Sat Mar 08 12:58:18 MSK 2025","passed","Sat Mar 08 12:58:18 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testMore30km"
